layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok,r_max,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C
features.0.0,conv,0,96,1,False,0,56,56,800000,2.2472709024345763,1.6204483441615527,0.0168796702516828,2.4438683312639693,0.0254569617839996,1.2928070492047614,0.0134667400958829,11.671886727687856,10,96,0.8421950149896618,73,2,4,10,21,0.0208333333333333,0.0416666666666666,0.1041666666666666,0.21875,convnext_tiny_random,random_init,imagenet_val[50000],8333.333333333334,True,50000,0.624299941764757,1.677798593603662,0.0174770686833714,1.9767253293952889,0.0205908888478675,1.357473514702423,0.0141403491114835,7.411056304953333,10,96,0.9568679286683406,72,2,2,3,3,0.0208333333333333,0.0208333333333333,0.03125,0.03125,520.8333333333334,True,48.0,0.041666666666666664,0.08333333333333333,0.20833333333333334,0.4375,0.5
features.1.0.block.0,conv,1,96,96,True,0,56,56,800000,1.8018842419726575,4.218880203898815,0.0439466687906126,12.077111329250144,0.1258032430130223,2.1735199776938563,0.0226408331009776,1.385307727001233,10,96,0.9762916197003771,96,27,47,79,94,0.28125,0.4895833333333333,0.8229166666666666,0.9791666666666666,convnext_tiny_random,random_init,imagenet_val[50000],8333.333333333334,True,50000,0.4356664913439995,1.8778434725479431,0.0195608695057077,2.2351538281692496,0.023282852376763,1.464772238305073,0.0152580441490111,3.934128367975405,10,96,0.9941013694531972,96,2,3,3,5,0.0208333333333333,0.03125,0.03125,0.0520833333333333,520.8333333333334,True,96.0,0.28125,0.4895833333333333,0.8229166666666666,0.9791666666666666,1.0
features.1.0.block.4,act,2,56,1,False,0,56,384,800000,0.5774029080950087,5.883894795106403,0.1050695499126143,14.3344753085832,0.2559727733675571,2.6975127289888925,0.0481698701605159,1.0255617718173091,10,56,0.9875940845538558,56,26,39,52,56,0.4642857142857143,0.6964285714285714,0.9285714285714286,1.0,convnext_tiny_random,random_init,imagenet_val[50000],14285.714285714286,True,50000,0.0001493003388197,5.476970868372542,0.0978030512209382,9.969751363283777,0.1780312743443531,2.7782718412983893,0.0496119971660426,1.9677448125297128,10,56,0.9630579851447988,56,10,16,40,54,0.1785714285714285,0.2857142857142857,0.7142857142857143,0.9642857142857144,892.8571428571429,True,,,,,,
features.1.1.block.0,conv,3,96,96,True,0,56,56,800000,2.0380933055581707,3.6859705117175294,0.0383955261637242,10.25398584832488,0.1068123525867175,2.020465794931559,0.0210465186972037,1.3767014659960262,10,96,0.9762220311749986,96,24,44,78,94,0.25,0.4583333333333333,0.8125,0.9791666666666666,convnext_tiny_random,random_init,imagenet_val[50000],8333.333333333334,True,50000,0.5268928652212823,1.9547331977154672,0.0203618041428694,2.28194944354789,0.0237703067036238,1.5233722583875604,0.0158684610248704,3.929125260031588,10,96,0.9923909409447822,96,2,3,3,5,0.0208333333333333,0.03125,0.03125,0.0520833333333333,520.8333333333334,True,96.0,0.25,0.4583333333333333,0.8125,0.9791666666666666,1.0
features.1.1.block.4,act,4,56,1,False,0,56,384,800000,0.5725521774435676,5.365854268375451,0.0958188262209902,12.889760078614172,0.2301742871181102,2.5660541453748333,0.045822395453122,0.9747270407831188,10,56,0.9876272682245716,56,24,37,52,56,0.4285714285714285,0.6607142857142857,0.9285714285714286,1.0,convnext_tiny_random,random_init,imagenet_val[50000],14285.714285714286,True,50000,0.0010387895216115,2.668925071825275,0.0476593762825941,4.311877146535267,0.0769978061881297,1.7683040304394926,0.0315768576864195,2.574689586427259,10,56,0.8740628171376916,56,4,6,24,42,0.0714285714285714,0.1071428571428571,0.4285714285714285,0.75,892.8571428571429,True,,,,,,
features.1.2.block.0,conv,5,96,96,True,0,56,56,800000,1.71517906260302,4.214284173818842,0.0438987934772796,12.14896804013381,0.1265517504180605,2.1874519528147287,0.02278595784182,1.374309738843097,10,96,0.9706912147269352,96,28,48,80,94,0.2916666666666667,0.5,0.8333333333333334,0.9791666666666666,convnext_tiny_random,random_init,imagenet_val[50000],8333.333333333334,True,50000,0.4161513550414975,2.044775520405123,0.02129974500422,2.311212758676421,0.0240751329028793,1.6308705526141878,0.0169882349230644,3.941771300444715,10,96,0.992958259030922,96,2,3,3,5,0.0208333333333333,0.03125,0.03125,0.0520833333333333,520.8333333333334,True,96.0,0.2916666666666667,0.5,0.8333333333333334,0.9791666666666666,1.0
features.1.2.block.4,act,6,56,1,False,0,56,384,800000,0.5807999614908094,5.88545165776941,0.1050973510315966,14.366446343547048,0.2565436847061973,2.7029418376159717,0.0482668185288566,0.9476736803388672,10,56,0.9691373711342774,56,26,40,53,56,0.4642857142857143,0.7142857142857143,0.9464285714285714,1.0,convnext_tiny_random,random_init,imagenet_val[50000],14285.714285714286,True,50000,0.0005846626062562,3.18829433889637,0.0569338274802923,6.079054551314164,0.1085545455591815,1.9201579310977093,0.0342885344838876,2.2941040020005565,10,56,0.9506466498785824,56,7,12,32,50,0.125,0.2142857142857142,0.5714285714285714,0.8928571428571429,892.8571428571429,True,,,,,,
features.2.1,conv,7,192,1,False,0,28,28,800000,30.821499234860223,2.4702460161973088,0.0128658646676943,5.139203340633893,0.0267666840658015,1.6387294304431888,0.0085350491168916,5.176730955762139,10,192,0.8248233061441161,192,8,16,43,77,0.0416666666666666,0.0833333333333333,0.2239583333333333,0.4010416666666667,convnext_tiny_random,random_init,imagenet_val[50000],4166.666666666667,True,50000,7.970758938879209,1.9857687428052309,0.0103425455354439,2.281424328510956,0.0118824183776612,1.564410177084882,0.008147969672317,5.15587858475287,10,192,0.8410235508254624,185,2,3,3,6,0.0104166666666666,0.015625,0.015625,0.03125,260.4166666666667,True,192.0,0.041666666666666664,0.08333333333333333,0.22395833333333334,0.4010416666666667,1.0
features.3.0.block.0,conv,8,192,192,True,0,28,28,800000,0.5394422030170767,6.4071908246501135,0.0333707855450526,22.50537486485169,0.1172154940877692,2.82321851395003,0.0147042630934897,1.1520177310545971,10,192,0.9846633792582226,192,64,106,166,189,0.3333333333333333,0.5520833333333334,0.8645833333333334,0.984375,convnext_tiny_random,random_init,imagenet_val[50000],4166.666666666667,True,50000,0.1315000785700361,2.147762790812936,0.011186264535484,2.4444484042819634,0.0127315021056352,1.7487732623438008,0.0091081940747072,2.6916100927948783,10,192,0.987937777490207,192,2,3,3,13,0.0104166666666666,0.015625,0.015625,0.0677083333333333,260.4166666666667,True,192.0,0.3333333333333333,0.5520833333333334,0.8645833333333334,0.984375,1.0
features.3.0.block.4,act,9,28,1,False,0,28,768,800000,0.5750167531233576,5.9628874366892335,0.212960265596044,11.795371485355718,0.4212632673341328,2.7592247992689183,0.0985437428310328,0.7582617377439244,10,28,0.991767423440179,28,17,23,27,28,0.6071428571428571,0.8214285714285714,0.9642857142857144,1.0,convnext_tiny_random,random_init,imagenet_val[50000],28571.42857142857,True,50000,0.0005281823862041,2.107059516231655,0.0752521255797019,3.4835693667146708,0.124413191668381,1.5024230637940628,0.0536579665640736,1.4745699058484625,10,28,0.9404131481579282,28,4,6,18,27,0.1428571428571428,0.2142857142857142,0.6428571428571429,0.9642857142857144,1785.7142857142858,True,,,,,,
